Property,City,AssetType,Units,Occupancy,Rent,Expenses,DebtService,NOI,CapRate
Property 1,Dallas,Multifamily,63,91,103500,36225,25875,67275,5.7
Property 2,Austin,Office,66,92,107000,37450,26750,69550,5.9
Property 3,Miami,Retail,69,93,110500,38675,27625,71825,6.1
Property 4,Atlanta,Industrial,72,94,114000,39900,28500,74100,6.3
Property 5,Phoenix,Multifamily,75,95,117500,41125,29375,76375,6.5
Property 6,Denver,Office,78,96,121000,42350,30250,78650,5.5
Property 7,Seattle,Retail,81,97,124500,43575,31125,80925,5.7
Property 8,Chicago,Industrial,84,90,128000,44800,32000,83200,5.9
Property 9,Dallas,Multifamily,87,91,131500,46025,32875,85475,6.1
Property 10,Austin,Office,90,92,135000,47250,33750,87750,6.3
Property 11,Miami,Retail,93,93,138500,48475,34625,90025,6.5
Property 12,Atlanta,Industrial,96,94,142000,49700,35500,92300,5.5
Property 13,Phoenix,Multifamily,99,95,145500,50925,36375,94575,5.7
Property 14,Denver,Office,102,96,149000,52150,37250,96850,5.9
Property 15,Seattle,Retail,105,97,152500,53375,38125,99125,6.1
Property 16,Chicago,Industrial,108,90,156000,54600,39000,101400,6.3
Property 17,Dallas,Multifamily,111,91,159500,55825,39875,103675,6.5
Property 18,Austin,Office,114,92,163000,57050,40750,105950,5.5
Property 19,Miami,Retail,117,93,166500,58274,41625,108226,5.7
Property 20,Atlanta,Industrial,120,94,170000,59499,42500,110501,5.9
Property 21,Phoenix,Multifamily,123,95,173500,60724,43375,112776,6.1
Property 22,Denver,Office,126,96,177000,61949,44250,115051,6.3
Property 23,Seattle,Retail,129,97,180500,63174,45125,117326,6.5
Property 24,Chicago,Industrial,132,90,184000,64399,46000,119601,5.5
Property 25,Dallas,Multifamily,135,91,187500,65625,46875,121875,5.7
Property 26,Austin,Office,138,92,191000,66850,47750,124150,5.9
Property 27,Miami,Retail,141,93,194500,68075,48625,126425,6.1
Property 28,Atlanta,Industrial,144,94,198000,69300,49500,128700,6.3
Property 29,Phoenix,Multifamily,147,95,201500,70525,50375,130975,6.5
Property 30,Denver,Office,150,96,205000,71750,51250,133250,5.5
Property 31,Seattle,Retail,153,97,208500,72975,52125,135525,5.7
Property 32,Chicago,Industrial,156,90,212000,74200,53000,137800,5.9
Property 33,Dallas,Multifamily,159,91,215500,75425,53875,140075,6.1
Property 34,Austin,Office,162,92,219000,76650,54750,142350,6.3
Property 35,Miami,Retail,165,93,222500,77875,55625,144625,6.5
Property 36,Atlanta,Industrial,168,94,226000,79100,56500,146900,5.5
Property 37,Phoenix,Multifamily,171,95,229500,80325,57375,149175,5.7
Property 38,Denver,Office,174,96,233000,81550,58250,151450,5.9
Property 39,Seattle,Retail,177,97,236500,82775,59125,153725,6.1
Property 40,Chicago,Industrial,180,90,240000,84000,60000,156000,6.3
Property 41,Dallas,Multifamily,183,91,243500,85225,60875,158275,6.5
Property 42,Austin,Office,186,92,247000,86450,61750,160550,5.5
Property 43,Miami,Retail,189,93,250500,87675,62625,162825,5.7
Property 44,Atlanta,Industrial,192,94,254000,88900,63500,165100,5.9
Property 45,Phoenix,Multifamily,195,95,257500,90125,64375,167375,6.1
Property 46,Denver,Office,198,96,261000,91350,65250,169650,6.3
Property 47,Seattle,Retail,201,97,264500,92575,66125,171925,6.5
Property 48,Chicago,Industrial,204,90,268000,93800,67000,174200,5.5
Property 49,Dallas,Multifamily,207,91,271500,95025,67875,176475,5.7
Property 50,Austin,Office,210,92,275000,96250,68750,178750,5.9
